1 -149.60400000 -1013.87000000 -1230.99000000
2 -649.96600000 -116.13200000 -0.03350540
3 669.93900000 139.41900000 465.05400000
4 -137.70700000 827.89100000 392.45900000
5 -907.23900000 -408.95800000 -432.87300000
6 1861.69000000 -199.83700000 734.11000000
7 -867.28700000 -80.65560000 466.13300000
8 -313.17800000 563.94800000 -483.29100000
9 -620.99500000 -757.78700000 1175.69000000
10 -371.69800000 -1300.18000000 -558.82500000
11 299.56800000 1555.41000000 -285.01400000
12 1314.07000000 1173.24000000 -337.12700000
13 1080.85000000 -508.86400000 763.24900000
14 -585.06100000 -54.69480000 -173.20800000
15 -210.16300000 62.44640000 -396.24100000
16 -834.85400000 507.51300000 476.63500000
17 318.48000000 -498.78200000 -219.21900000
18 42.85760000 -207.65000000 300.91200000
19 257.47900000 42.03690000 -185.44000000
20 -80.79750000 -167.11100000 -263.15500000
21 302.99400000 -9.56057000 168.09300000
22 73.26540000 -48.33160000 -102.21200000
23 205.25600000 -143.75800000 74.80080000
24 -1262.72000000 475.18000000 195.63800000
25 724.36600000 1872.63000000 2289.45000000
26 146.04000000 -743.62700000 -612.96500000
27 -118.83900000 -1505.72000000 317.38000000
28 345.60500000 -194.78900000 -1995.05000000
29 -617.21900000 -98.47010000 -134.65500000
30 184.92500000 304.04800000 396.85400000
31 -1108.12000000 -236.00200000 -7.72186000
32 479.17900000 337.58100000 178.75600000
33 -134.79500000 -121.20600000 -108.50100000
34 508.96400000 323.44000000 -399.58300000
35 -523.38200000 -445.41600000 -109.51900000
36 875.20400000 1.78218000 861.48600000
37 -168.88200000 -57.48160000 254.51900000
38 -259.13000000 -14.94200000 -555.83500000
39 811.10700000 1774.31000000 -457.24800000
40 149.91600000 -2514.32000000 369.07800000
41 505.09500000 474.67200000 -247.15500000
42 264.96800000 974.92000000 727.59200000
43 771.03100000 2.80367000 -1065.21000000
44 132.67500000 -65.38940000 -90.91450000
45 -372.83100000 134.71100000 395.78600000
46 -1661.08000000 65.61610000 593.72600000
47 -144.32500000 -384.84700000 -366.87600000
48 660.15700000 12.90900000 269.21800000
49 -188.46000000 82.81340000 -382.99100000
50 -367.17100000 -3.79485000 -18.25690000
51 724.37500000 -551.86800000 -666.26400000
52 78.80230000 215.48900000 120.72100000
53 18.42120000 122.07800000 155.46800000
54 -591.91700000 561.38400000 201.79100000
55 -909.26300000 1201.85000000 -310.09100000
56 906.87200000 -999.12400000 808.15900000
57 408.74300000 -1418.48000000 -34.10030000
58 311.35400000 -920.76100000 -871.78600000
59 -1.65643000 119.93500000 -266.54000000
60 -15.31600000 162.68600000 176.82600000
61 -577.94300000 1110.65000000 -187.62700000
62 214.55500000 105.22300000 -224.81400000
63 17.08670000 -50.92570000 -182.92200000
64 70.65130000 315.36900000 6.02966000
65 -85.71290000 84.68060000 183.21000000
66 499.88000000 -443.22700000 -434.69900000
67 24.08360000 271.98100000 30.06860000
68 -319.65500000 45.33430000 0.32039000
69 52.40730000 -368.91300000 293.13600000
70 685.99100000 1590.21000000 -231.38800000
71 -685.62100000 -538.16500000 -118.43700000
72 -1712.95000000 -1065.71000000 1596.99000000
73 -322.63500000 -1221.75000000 -1229.16000000
74 1121.62000000 631.54000000 398.15200000
75 309.12300000 387.29500000 -837.76200000
76 293.07000000 1356.97000000 -718.02100000
77 101.01600000 -435.41900000 273.86300000
78 -432.41100000 -387.79000000 279.37700000
79 -19.82250000 -419.26700000 32.45250000
80 361.92900000 612.91700000 41.55790000
81 774.53800000 -1316.36000000 784.74700000
82 216.25600000 -11.87090000 -663.76600000
83 -230.38100000 143.27500000 12.07470000
84 -1264.34000000 373.19800000 -228.92100000
85 783.01900000 491.31500000 262.45900000
86 -988.19600000 -637.30500000 356.65400000
87 1288.45000000 1443.56000000 1370.97000000
88 -458.85300000 673.97100000 -1411.86000000
89 -94.90310000 -146.82200000 -384.26300000
90 143.24200000 291.81900000 -569.57100000
91 -624.69900000 -1380.51000000 -424.46800000
92 -121.12800000 528.97900000 236.79700000
93 587.01800000 384.30800000 -113.35100000
94 -325.89800000 -181.88200000 434.23900000
95 82.55480000 87.66280000 -26.58960000
96 -864.00800000 -873.41400000 226.14800000
97 146.62400000 405.38200000 -262.26400000
98 278.42300000 117.92400000 86.44960000
99 424.89500000 -822.42400000 801.23800000
100 -1652.27000000 1881.10000000 -83.80730000
101 1349.00000000 -1733.56000000 592.88500000
102 171.76500000 -23.51880000 596.97300000
103 820.19500000 -653.74600000 1.86304000
104 -259.48600000 -1.54405000 -111.60200000
105 -771.48400000 121.13700000 -285.02800000
106 -586.54600000 1577.11000000 -352.98900000
107 -99.28860000 -615.89100000 -224.82200000
108 439.22300000 -118.48500000 462.10400000
109 400.22800000 -168.85600000 -335.83600000
110 40.33280000 -204.48100000 -172.74900000
111 327.80100000 913.85100000 120.14700000
112 -86.26730000 -28.42280000 -232.33200000
113 -385.79000000 -299.40600000 -229.64700000
114 -49.29820000 -1103.51000000 487.04200000
115 -50.26010000 353.55500000 253.29700000
116 -647.82400000 -741.30200000 20.95110000
117 1679.72000000 -229.34700000 1161.48000000
118 1216.13000000 1001.61000000 -332.60900000
119 -240.81400000 -280.43400000 138.57600000
120 -162.46000000 -108.17400000 -304.56900000
121 -637.64400000 -0.30474800 -611.23900000
122 -367.26100000 131.20200000 84.21110000
123 243.81900000 30.95320000 38.88150000
124 -66.51980000 255.75400000 151.59600000
125 -25.06350000 -875.55700000 -26.40980000
126 927.43000000 356.48200000 -100.41300000
127 662.86400000 -133.20500000 115.99300000
128 -835.25600000 -352.57600000 -114.85000000
129 -243.87000000 1734.37000000 308.36300000
130 -1392.82000000 -1523.65000000 971.02700000
131 239.79600000 1059.87000000 -100.80000000
132 -1390.69000000 -524.36800000 -637.71400000
133 1058.17000000 -256.64200000 -1594.85000000
134 159.53900000 188.81900000 499.14800000
135 -372.01000000 156.07600000 79.57700000
136 873.05000000 498.83600000 -789.09500000
137 -21.32240000 127.76800000 846.29400000
138 -550.42100000 -190.57400000 347.56600000
139 291.90800000 97.14350000 269.55400000
140 -19.97120000 149.03500000 84.97560000
141 16.29890000 -127.56300000 -140.44800000
142 -241.70000000 -530.93800000 -118.37100000
143 -208.29900000 66.05330000 -450.81100000
144 -463.40000000 345.19600000 218.65600000
